Myoware,X-axis,Y-axis,Z-axis,Output
254,-7.5,0.25,-0.22,Bicep_Correct_Form
313,-7.72,-0.59,-0.41,Bicep_Correct_Form
387,-7.56,-0.56,-0.44,Bicep_Correct_Form
324,-7.75,-0.19,-0.41,Bicep_Correct_Form
268,-7.75,-0.12,-0.22,Bicep_Correct_Form
337,-8.34,-0.34,0.19,Bicep_Correct_Form
253,-8.44,0.59,0.34,Bicep_Correct_Form
379,-7.91,0.53,0,Bicep_Correct_Form
321,-7.53,-0.06,0,Bicep_Correct_Form
253,-7.47,0.91,0.25,Bicep_Correct_Form
332,-7.75,0.37,0.25,Bicep_Correct_Form
391,-7.56,-0.03,-0.12,Bicep_Correct_Form
324,-7.72,-0.19,-0.47,Bicep_Correct_Form
252,-7.59,-0.25,0.06,Bicep_Correct_Form
356,-7.59,0.25,0.06,Bicep_Correct_Form
272,-7.72,-0.31,0.34,Bicep_Correct_Form
333,-7.59,-0.59,-0.25,Bicep_Correct_Form
386,-7.75,-0.72,0.09,Bicep_Correct_Form
330,-7.31,0.31,0.16,Bicep_Correct_Form
263,-7.75,-0.37,-0.12,Bicep_Correct_Form
369,-7.47,0.22,-0.19,Bicep_Correct_Form
316,-7.81,-0.16,-0.12,Bicep_Correct_Form
260,-7.66,0.16,0.09,Bicep_Correct_Form
365,-7.69,-0.25,0.25,Bicep_Correct_Form
312,-7.75,-0.47,-0.16,Bicep_Correct_Form
254,-7.72,-0.22,-0.22,Bicep_Correct_Form
368,-7.88,0.12,0,Bicep_Correct_Form
303,-7.25,0.47,-0.03,Bicep_Correct_Form
219,-7.56,-0.19,0.09,Bicep_Correct_Form
379,-7.75,0.12,-0.31,Bicep_Correct_Form
313,-8.16,-0.25,-0.12,Bicep_Correct_Form
252,-7.19,-0.28,0.63,Bicep_Correct_Form
376,-7.81,-0.03,0.09,Bicep_Correct_Form
299,-7.88,-0.53,0.25,Bicep_Correct_Form
225,-7.53,-0.22,-0.06,Bicep_Correct_Form
371,-7.81,0.12,0.31,Bicep_Correct_Form
272,-7.56,0.16,0.37,Bicep_Correct_Form
220,-7.84,0.19,0.12,Bicep_Correct_Form
291,-7.78,0.28,0.28,Bicep_Correct_Form
403,-7.69,-0.03,0.06,Bicep_Correct_Form
346,-7.56,-0.12,-0.22,Bicep_Correct_Form
280,-7.59,0.59,0.06,Bicep_Correct_Form
410,-7.81,0.37,-0.28,Bicep_Correct_Form
355,-7.66,-0.56,-0.19,Bicep_Correct_Form
287,-7.72,0.56,-0.19,Bicep_Correct_Form
221,-7.47,0.22,-0.16,Bicep_Correct_Form
303,-7.75,-0.06,-0.22,Bicep_Correct_Form
398,-7.72,-0.5,-0.16,Bicep_Correct_Form
310,-7.19,0.12,0.12,Bicep_Correct_Form
224,-6.97,0.91,-0.59,Bicep_Correct_Form
369,-7.97,0.28,-0.25,Bicep_Correct_Form
302,-7.75,-0.12,-0.34,Bicep_Correct_Form
230,-7.69,0.12,-0.06,Bicep_Correct_Form
372,-7.38,-0.09,0.09,Bicep_Correct_Form
286,-7.69,0.66,0.19,Bicep_Correct_Form
228,-7.94,0.25,-0.37,Bicep_Correct_Form
378,-7.63,0.03,-0.34,Bicep_Correct_Form
289,-7.88,0,-0.19,Bicep_Correct_Form
413,-7.75,-0.5,-0.19,Bicep_Correct_Form
343,-7.81,0.69,-0.47,Bicep_Correct_Form
262,-7.81,-0.03,-0.28,Bicep_Correct_Form
370,-7.69,0.28,-0.31,Bicep_Correct_Form
284,-7.66,-0.94,-0.44,Bicep_Correct_Form
214,-8.09,-0.25,-0.66,Bicep_Correct_Form
378,-7.16,0.03,-0.53,Bicep_Correct_Form
294,-7.59,0.63,-0.12,Bicep_Correct_Form
231,-7.53,0.94,0.03,Bicep_Correct_Form
357,-7.84,0.22,-0.47,Bicep_Correct_Form
415,-7.59,-0.31,-0.22,Bicep_Correct_Form
333,-7.84,-0.09,-0.16,Bicep_Correct_Form
279,-8.03,0.44,-0.37,Bicep_Correct_Form
337,-7.38,-0.12,-0.28,Bicep_Correct_Form
391,-7.5,0.34,-0.06,Bicep_Correct_Form
340,-7.88,1,-0.09,Bicep_Correct_Form
265,-7.5,-0.88,-0.34,Bicep_Correct_Form
360,-7.91,0.16,-0.09,Bicep_Correct_Form
266,-7.97,0.56,0,Bicep_Correct_Form
337,-7.97,-0.12,-0.47,Bicep_Correct_Form
405,-7.75,0.12,-0.19,Bicep_Correct_Form
315,-7.63,1.16,-0.34,Bicep_Correct_Form
229,-7.34,1.22,0.16,Bicep_Correct_Form
379,-7.44,2.28,0.22,Bicep_Correct_Form
312,-7.63,0.84,-0.03,Bicep_Correct_Form
236,-7.59,-0.19,-0.16,Bicep_Correct_Form
375,-7.66,0.25,-0.16,Bicep_Correct_Form
305,-7.41,-0.28,0.06,Bicep_Correct_Form
249,-8.03,1.63,-0.09,Bicep_Correct_Form
376,-7.19,-0.25,0.03,Bicep_Correct_Form
306,-7.44,0.25,0.19,Bicep_Correct_Form
223,-7.78,-1.66,-0.34,Bicep_Correct_Form
389,-7.66,-0.72,-0.34,Bicep_Correct_Form
328,-7.94,-0.44,0.16,Bicep_Correct_Form
254,-7.78,0.53,0.31,Bicep_Correct_Form
386,-8.38,0.56,-0.34,Bicep_Correct_Form
322,-7.84,0.81,-0.31,Bicep_Correct_Form
242,-7.84,-0.41,-0.31,Bicep_Correct_Form
386,-7.72,0.12,0,Bicep_Correct_Form
303,-7.94,-0.22,0.28,Bicep_Correct_Form
252,-7.63,0.41,0.16,Bicep_Correct_Form
400,-7.13,0.97,0.34,Bicep_Correct_Form
259,-7.41,0.12,0.41,Bicep_Wrong_Form
364,-7.81,-0.37,0.16,Bicep_Wrong_Form
309,-6.25,3.72,1.16,Bicep_Wrong_Form
248,-7.75,0.28,0.31,Bicep_Wrong_Form
374,-6.78,2.25,0.72,Bicep_Wrong_Form
267,-7.09,0.44,1.5,Bicep_Wrong_Form
356,-5.91,4.59,0.16,Bicep_Wrong_Form
